,log Q_r
R_1,-4.089164729024409
R_2,-2.7837017961088364
R_3,-2.3498392254745113
R_4,-1.1948808650796536
R_5,-2.808457932751047
R_6,0.9295062841482942
R_7,-2.6996429305614686
R_8,-4.195121844656256
R_9,-2.2976503207555794
