,Normalized Concentrations
A,0.0162118368026
B,0.000995723258594
C,0.00151737194478
D,0.000100996400683
E,3.47690194798e-05
F,0.00167423345784
A_ext,0.978700905256
D_ext,1.493733907e-06
E_ext,0.00059249052128
F_ext,0.0001701796047
