,Entropy of Concentrations
A,0.0668254123767
B,0.00688248017904
C,0.0098489205286
D,0.000929209878284
E,0.000356966006372
F,0.0107023697141
A_ext,0.021070641259
D_ext,2.00372925696e-05
E_ext,0.0044029011541
F_ext,0.0014769302781
