,Forward likelihoods
R_1,60.3695117778
R_2,36.4819802601
R_3,23.9401505004
R_4,17.0405615473
R_5,17.04056366
R_6,9.83799058125
R_7,33.6644285661
R_8,67.6132715549
R_9,9.83799219224
