,fullS*backward_rate
A,-1.052949826243209
B,-2.234311336954248
C,1.1135325178113145
D,2.133474995360323
E,-3.7052698687034535e-09
F,6.253570572489764e-08
A_ext,-1.0166438898273575
D_ext,1.0148985498465963
E_ext,-1.059264569434087
F_ext,1.1012635006102318
