,logQ - logK
R_1,-4.095718528623298
R_2,-3.5942886687592925
R_3,-3.167390036817839
R_4,-2.825775997998961
R_5,-2.825765368767005
R_6,-2.2900480044044027
R_7,-3.511759225988094
R_8,-4.206494812173233
R_9,-2.290030799197197
