,logK - logQ
R_1,4.10048444313
R_2,3.59681873944
R_3,3.17555297188
R_4,2.83560872152
R_5,2.8356081296
R_6,2.28625763364
R_7,3.51644143868
R_8,4.21380591632
R_9,2.28625632482
