,Backward rate
R_1,1.0164800401553882
R_2,1.027349679388658
R_3,1.0413766644111115
R_4,1.0580446888851922
R_5,1.0580446822105634
R_6,1.1021947593935297
R_7,1.0295513255148345
R_8,1.0146703560601797
R_9,1.1021947361243685
