,fullS*net_likelihood
A,-1.8774450545322452e-06
B,4.195608592993949e-06
C,-7.709573424108385e-08
D,-1.9350192417277867e-06
E,1.9877554571223754e-06
F,-2.2513122068801295e-06
A_ext,-60.6629837579376
D_ext,68.15000103281835
E_ext,-17.170062388345723
F_ext,9.683045070973167
