,Absolute activities
A,7.67469991521e-14
B,1.02976270944e-17
C,2.92597505827e-17
D,4.79159758747e-21
E,2.51785861701e-21
F,1.25263806849e-20
A_ext,1.99356604698e-09
D_ext,1.39286669837e-25
E_ext,2.84340372604e-18
F_ext,4.32961140989e-23
