,Normalized absolute activities
A,3.864481227449953e-05
B,5.207333859500814e-09
C,1.4781287671042591e-08
D,2.423208640599662e-12
E,1.2557810417293306e-12
F,6.314296369860982e-12
A_ext,0.9999613337905974
D_ext,7.097732090768922e-17
E_ext,1.3984914361290377e-09
F_ext,2.173373962814955e-14
