,Delta G
R_1,-10.1649212897
R_2,-8.91635607618
R_3,-7.87205669431
R_4,-7.02934979084
R_5,-7.0293483235
R_6,-5.6675325114
R_7,-8.71710426898
R_8,-10.4458402571
R_9,-5.66752926689
