,Entropy
A,0.0003954990445157281
B,1.0026305347357964e-07
C,2.72856656023071e-07
D,6.7061649902144e-11
E,3.6129643598526284e-11
F,1.6124304659941074e-10
A_ext,3.897447064443507e-05
D_ext,2.7600296783022925e-15
E_ext,2.9620373432549745e-08
F_ext,6.736240258273365e-13
