,Chemical potential
A,-30.251463008594463
B,-39.161547150397766
C,-38.10328414451292
D,-46.8087814133533
E,-47.45104077629612
F,-45.89673883075533
A_ext,-20.09835621214635
D_ext,-57.236497763542936
E_ext,-40.446092225683756
F_ext,-51.57362485427315
