,Backward Log likelihoods
R_1,-4.105605317890415
R_2,-3.59905047271821
R_3,-3.1850382186351243
R_4,-2.846542067096377
R_5,-2.8465421820875902
R_6,-2.2808748804770977
R_7,-3.5216266794580715
R_8,-4.221926415807556
R_9,-2.280875108171395
