,fullS*net_flux
A,-1.6323592433309386e-06
B,5.648913138145417e-06
C,4.975651535232828e-08
D,-5.330225079092088e-06
E,1.9143310225899768e-06
F,-1.5069853773752584e-06
A_ext,-60.25890338809658
D_ext,67.39150579199475
E_ext,-16.88570989428252
F_ext,9.753108346953375
