,fullS*net_probabilities
A,-6.756027196019865e-09
B,1.5097989511381193e-08
C,-2.774307034103529e-10
D,-6.9632091759253e-09
E,7.1529815959259224e-09
F,-8.10139634543905e-09
A_ext,-0.21829707736626158
D_ext,0.24523927321701092
E_ext,-0.061786846036596496
F_ext,0.034844650032939475
