	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Reduce rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	60.67946379809299	0.01648004015538825	-10.177618410631236	-4.1056064057419945	-0.0	0.0	4.1056064057419945	-4.1056064057419945	4.105605317890415	-4.105605317890415	0.218356381152161	5.9303785899406186e-05	0.21829707736626158	60.6629837579376	61.67946379809298	1.0164800401553882	1.0	10.177618410631236	60.662983757937596	0.33225691606575514	0.000577194106006078	0.33283411017176123	0.33167972195974904	20.494015132431812	20.19071021943716	20.120681586081513	2.0067199518945724	75.67825427869661	22.682644951962704	22.603973394121805	136.75796679419233	134.89794634987453
R_2	36.563499914909436	0.02734967938865808	-8.921890787120219	-2.7922602330779167	0.8067911843606557	-2.0	3.5990514174385724	-3.5990514174385724	3.59905047271821	-3.59905047271821	0.13157455626573755	9.841842104687336e-05	0.13147613784469067	36.53615023552078	37.563499914909436	1.027349679388658	1.0	8.921890787120219	36.53615023552078	0.2668570967080277	0.0009080361622451405	0.26776513287027287	0.26594906054578255	10.025019400145133	9.783107122382471	9.716754831096324	2.0067199518945724	75.67825427869661	18.24819408166184	18.124428750872152	136.75796679419233	134.89794634987453
R_3	24.16821206427299	0.041376664411111506	-7.895561023632501	-2.3782433303634924	0.8067911843606557	-2.0	3.185034514724148	-3.185034514724148	3.1850382186351243	-3.1850382186351243	0.08696984111185407	0.00014889483425596227	0.08682094627759811	24.12683539986188	25.16821206427299	1.0413766644111115	1.0	7.895561023632501	24.12683539986188	0.21239721321331329	0.0013121015274618706	0.21370931474077515	0.21108511168585142	5.347024495925311	5.156129460167958	5.092815745005999	2.0067199518945724	75.67825427869661	14.564290020306728	14.38545057940335	136.75796679419233	134.89794634987453
R_4	17.22810508947546	0.058044688885192236	-7.056489538706847	-1.2329744074596256	1.6135823687213113	-4.0	2.846556776180937	-2.846556776180937	2.846542067096377	-2.846542067096377	0.061995713969463496	0.00020887508584859917	0.0617868388836149	17.170060400590266	18.22810508947546	1.0580446888851922	1.0	7.056489538706847	17.170060400590266	0.17239086348042243	0.0017699603051408604	0.1741608237855633	0.17062090317528156	3.1442314730869487	2.9903518638146793	2.929571213122848	2.0067199518945724	75.67825427869661	11.869060320862634	11.627814727615839	136.75796679419233	134.89794634987453
R_5	17.228107070556288	0.05804468221056339	-7.05648454646868	-2.8465547623340655	-0.0	0.0	2.8465547623340655	-2.8465547623340655	2.8465421820875902	-2.8465421820875902	0.0619957210984263	0.0002088750618298009	0.061786846036596496	17.170062388345723	18.228107070556288	1.0580446822105634	1.0	7.05648454646868	17.170062388345723	0.17239087617489496	0.0017699601256297853	0.17416083630052476	0.17062091604926516	3.1442320458016435	2.9903524248864763	2.929571773322581	2.0067199518945724	75.67825427869661	11.869061173757268	11.627815604977835	136.75796679419233	134.89794634987453
R_6	9.78523757905449	0.10219475939352984	-5.654209336980659	0.9462816136397709	3.2271647374426227	-8.0	2.2808831238028517	-2.2808831238028517	2.2808748804770977	-2.2808748804770977	0.03521239201430817	0.0003677500827650407	0.03484464193154313	9.68304281966096	10.785237579054488	1.1021947593935297	0.9999999999999999	5.654209336980659	9.683042819660958	0.11783324198542448	0.0029082069939917873	0.12074144897941627	0.1149250349914327	1.2740649200310306	1.1691446205755966	1.112824034873077	2.0067199518945724	75.67825427869661	8.228529872651203	7.832141253362822	136.75796679419233	134.89794634987453
R_7	33.83942962213341	0.029551325514834574	-8.729958285786022	-2.7148355080435564	0.8067911843606557	-2.0	3.521626692404212	-3.521626692404212	3.5216266794580715	-3.5216266794580715	0.12177192957948502	0.00010634109291307864	0.12166558848657194	33.80987829661857	34.83942962213341	1.0295513255148345	0.9999999999999998	8.729958285786022	33.80987829661857	0.2564036341336488	0.0009728996407650432	0.25737653377441383	0.2554307344928838	8.933958016373245	8.701869283318471	8.63608204642029	2.0067199518945724	75.67825427869661	17.54021104254951	17.40760481950358	136.75796679419233	134.89794634987453
R_8	68.16467138887853	0.014670356060179817	-10.465975073511517	-4.2219282125237285	-0.0	0.0	4.2219282125237285	-4.2219282125237285	4.221926415807556	-4.221926415807556	0.24529206481500812	5.2791597997199396e-05	0.24523927321701092	68.15000103281835	69.16467138887853	1.0146703560601797	1.0	10.465975073511517	68.15000103281835	0.3447103312419738	0.0005199528166049066	0.3452302840585787	0.3441903784253689	23.842304365412147	23.527444215152315	23.45657464517503	2.0067199518945724	75.67825427869661	23.527444215152315	23.45657464517503	136.75796679419233	134.89794634987453
R_9	9.785239807097536	0.10219473612436858	-5.654200505777115	-2.2808795613342685	-0.0	0.0	2.2808795613342685	-2.2808795613342685	2.280875108171395	-2.280875108171395	0.03521240003196993	0.0003677499990304536	0.034844650032939475	9.683045070973167	10.785239807097534	1.1021947361243685	0.9999999999999999	5.654200505777115	9.683045070973165	0.11783326079772208	0.0029082064155442925	0.12074146721326637	0.11492505438217779	1.2740653847584735	1.169145068961487	1.1128244813666694	2.0067199518945724	75.67825427869661	8.228531115288106	7.832142574842121	136.75796679419233	134.89794634987453
