,Net likelihoods
R_1,59.673046665163014
R_2,36.224188745204486
R_3,23.448861540910002
R_4,16.523705508903834
R_5,16.52370727160339
R_6,9.850239439011718
R_7,33.299097354791996
R_8,66.34651039177642
R_9,9.850242828625957
