,fullS*forward_rate
A,-1.0526946446418997
B,-2.2345031356122327
C,1.1135834249239238
D,2.1329079705847107
E,1.907686893787286e-06
F,-1.49162565499239e-06
A_ext,-61.27549387845434
D_ext,68.40634119148868
E_ext,-17.944725309506687
F_ext,10.854583965156614
