,Log Concentrations
A,-12.19520306823956
B,-14.983513673289195
C,-14.562653454311292
D,-17.27186824218626
E,-18.343825396929304
F,-14.465153137299916
A_ext,-8.096276515312287
D_ext,-21.48260933839859
E_ext,-15.51384732144787
F_ext,-16.753094229695133
