,Backward Log likelihoods
R_1,-4.26410675726
R_2,-4.19677435821
R_3,-1.57645490053
R_4,-3.8631176814
R_5,-3.8631117002
R_6,-2.25518916695
R_7,-2.6486258098
R_8,-4.69371823747
R_9,-2.25521513356
