,Delta G
R_1,-10.5263646286
R_2,-10.3666232803
R_3,-3.90078922973
R_4,-9.53938144679
R_5,-9.5393652161
R_6,-5.59057475268
R_7,-6.55871342755
R_8,-11.5541705533
R_9,-5.59064112707
