,Normalized absolute activities
A,2.36221596234e-05
B,7.43279771027e-10
C,4.77780435893e-07
D,6.77353395718e-10
E,8.57786159479e-06
F,4.31638821854e-15
A_ext,0.880768294214
D_ext,6.49984197435e-15
E_ext,0.119199026563
F_ext,1.61114974419e-17
