,Log Concentrations
A,-11.1540443718
B,-14.5291033245
C,-11.9208143688
D,-13.7597792715
E,-10.7558931594
F,-16.1654407558
A_ext,-6.90775527898
D_ext,-18.420680744
E_ext,-6.90775527898
F_ext,-18.420680744
