,log Q_r
R_1,-4.24655115588
R_2,-3.3720862062
R_3,-0.757997920271
R_4,-2.22507976627
R_5,-3.83866213499
R_6,0.973482460246
R_7,-1.83664055551
R_8,-4.6717358333
R_9,-2.2536822772
