,Chemical potential
A,-27.6510369748
B,-38.0102909468
C,-31.5300806108
D,-38.0830320836
E,-28.6398979619
F,-50.0772809127
A_ext,-17.1240227035
D_ext,-49.6640605426
E_ext,-19.1240227035
F_ext,-55.6640605426
