,Macroscopic Reaction Entropy Production Net Flux
R_1,90.1987783741
R_2,74.7195412583
R_3,49.797158387
R_4,76.7067531665
R_5,78.218118138
R_6,4.4081862416
R_7,54.2561260803
R_8,108.294875632
R_9,6.88064443642
