,log Q_r
R_1,-3.07650387105
R_2,-4.64265238618
R_3,-1.07311837381
R_4,-2.87900683355
R_5,-3.98087114019
R_6,2.2742818431
R_7,-3.13989487063
R_8,-4.22340834949
R_9,-2.49851703847
