,logK - logQ
R_1,3.07650387105
R_2,5.44944357054
R_3,1.87990955817
R_4,4.49258920227
R_5,3.98087114019
R_6,0.952882894339
R_7,3.94668605499
R_8,4.22340834949
R_9,2.49851703847
