	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	159.419271747	0.0062727673326	-7.62651831276	-3.07650387105	-0.0	0.0	3.07650387105	-3.07650387105	5.07153766085	-5.07153766085	0.173624773503	6.83171987568e-06	0.173617941783	159.41299898	160.419271747	1.00627276733	7.62651831276	159.41299898	0.303992459535	8.12560260192e-05	0.304073715561	0.303911203509	48.7663307408	48.4733029084	48.4473963748	1.83215384029	265.053284846	90.1987783741	90.1505716801	543.480181714	537.011683161
R_2	108.023420834	0.00925725173563	-13.5089318678	-4.64265238618	0.806791184361	-2.0	5.44944357054	-5.44944357054	4.68234806318	-4.68234806318	0.117649151008	1.008214514e-05	0.117639068862	108.014163582	109.023420834	1.00925725174	13.5089318678	108.014163582	0.251774875033	0.000115992503912	0.251890867537	0.251658882529	27.4494752223	27.2077813709	27.1827237043	1.83215384029	265.053284846	74.7195412583	74.6507264833	543.480181714	537.011683161
R_3	54.5118455737	0.0183446366469	-4.66021343468	-1.07311837381	0.806791184361	-2.0	1.87990955817	-1.87990955817	3.99841802803	-3.99841802803	0.0593692766079	1.99792869953e-05	0.0593492973209	54.493500937	55.5118455737	1.01834463665	4.66021343468	54.493500937	0.167657555669	0.000216192157845	0.167873747827	0.167441363512	9.30720049771	9.14802823453	9.12446609942	1.83215384029	265.053284846	49.797158387	49.6688982479	543.480181714	537.011683161
R_4	113.54474937	0.00880710033308	-11.1369318093	-2.87900683355	1.61358236872	-4.0	4.49258920227	-4.49258920227	4.7321970268	-4.7321970268	0.123662473024	9.59188173296e-06	0.123652881142	113.53594227	114.54474937	1.00880710033	11.1369318093	113.53594227	0.258479228955	0.000110830294037	0.258590059249	0.258368398661	29.6075503045	29.3592660385	29.3340995948	1.83215384029	265.053284846	76.7067531665	76.6410009714	543.480181714	537.011683161
R_5	117.915218037	0.00848066955774	-9.86840515205	-3.98087114019	-0.0	0.0	3.98087114019	-3.98087114019	4.76996587501	-4.76996587501	0.12842238457	9.23636342698e-06	0.128413148207	117.906737367	118.915218037	1.00848066956	9.86840515205	117.906737367	0.263578027741	0.000107071271349	0.263685099013	0.26347095647	31.3435466179	31.090249717	31.0650008684	1.83215384029	265.053284846	78.218118138	78.1545960552	543.480181714	537.011683161
R_6	0.998511064147	1.00149115609	-2.36215494867	2.2742818431	3.22716473744	-8.0	0.952882894339	-0.952882894339	-0.00149004541935	0.00149004541935	0.0010874861957	0.0010907318371	-3.24564140009e-06	-0.00298009194145	1.99851106415	2.00149115609	2.36215494867	-0.00298009194145	0.00742088235746	0.007439779766	0.0148606621235	-1.8897408542e-05	0.029721368902	-4.42861394388e-05	5.63160149103e-08	1.83215384029	265.053284846	4.4081862416	-0.00560562481299	543.480181714	537.011683161
R_7	62.3894014763	0.0160283634133	-9.78366182351	-3.13989487063	0.806791184361	-2.0	3.94668605499	-3.94668605499	4.13339541281	-4.13339541281	0.0679487842443	1.74566157326e-05	0.0679313276286	62.3733731129	63.3894014763	1.01602836341	9.78366182351	62.3733731129	0.182714350852	0.000191251048478	0.1829056019	0.182523099803	11.5823476581	11.4084393517	11.3845814057	1.83215384029	265.053284846	54.2561260803	54.1426627321	543.480181714	537.011683161
R_8	296.637949369	0.00337111284017	-10.4696442682	-4.22340834949	-0.0	0.0	4.22340834949	-4.22340834949	5.69251236949	-5.69251236949	0.323070706617	3.67150531372e-06	0.323067035112	296.634578256	297.637949369	1.00337111284	10.4696442682	296.634578256	0.365032446112	4.59485542068e-05	0.365078394666	0.364986497557	108.647554817	108.294875632	108.267615772	1.83215384029	265.053284846	108.294875632	108.267615772	543.480181714	537.011683161
R_9	3.37393847639	0.296389518361	-6.19371427676	-2.49851703847	-0.0	0.0	2.49851703847	-2.49851703847	1.21608074934	-1.21608074934	0.00367458273619	0.000322800138467	0.00335178259773	3.07754895803	4.37393847639	1.29638951836	6.19371427676	3.07754895803	0.0206008708626	0.00259482155084	0.0231956924134	0.0180060493117	0.0934708411736	0.0713858790178	0.0554144982977	1.83215384029	265.053284846	6.88064443642	5.34121684365	543.480181714	537.011683161
