,Entropy of Concentrations
A,0.0844000933432
B,0.00180363340995
C,0.0369889554064
D,0.00263076462487
E,0.0422751450506
F,0.000569570338511
A_ext,0.352212775242
D_ext,5.88241158238e-05
E_ext,0.352212775242
F_ext,5.88241158238e-05
