,Log Concentrations
A,-9.98425915003
B,-14.6269115362
C,-11.0573775238
D,-14.1972723945
E,-10.8886264192
F,-15.9221637055
A_ext,-6.90775527898
D_ext,-18.420680744
E_ext,-6.90775527898
F_ext,-18.420680744
