,Absolute activities
A,1.782282786e-11
B,2.42170950264e-17
C,1.68683123157e-13
D,9.50782743099e-18
E,2.56299975909e-13
F,3.27568097901e-22
A_ext,3.65705449446e-08
D_ext,2.69881153326e-22
E_ext,4.94928505819e-09
F_ext,6.68968496248e-25
