,fullS*backward_rate
A,-1.02132912105
B,-4.00253216077
C,2.00380742932
D,2.03027145124
E,-0.000326430775336
F,0.705101637727
A_ext,-1.00627276733
D_ext,1.00337111284
E_ext,-1.00848066956
F_ext,1.29638951836
