,Forward likelihoods
R_1,159.419271747
R_2,108.023420834
R_3,54.5118455737
R_4,113.54474937
R_5,117.915218037
R_6,0.998511064147
R_7,62.3894014763
R_8,296.637949369
R_9,3.37393847639
