,Net flux
R_1,159.41299898
R_2,108.014163582
R_3,54.493500937
R_4,113.53594227
R_5,117.906737367
R_6,-0.00298009194145
R_7,62.3733731129
R_8,296.634578256
R_9,3.07754895803
