,Forward rate
R_1,160.419271747
R_2,109.023420834
R_3,55.5118455737
R_4,114.54474937
R_5,118.915218037
R_6,1.99851106415
R_7,63.3894014763
R_8,297.637949369
R_9,4.37393847639
