,Concentrations
A,0.00035509696821616377
B,2.863793309509916e-06
C,0.0002972075525189649
D,4.713064542040102e-06
E,1.4371817259283833e-06
F,5.00449639535136e-09
A_ext,0.09947713507475836
D_ext,3.342351090550777e-08
E_ext,1.3369905533950793e-06
F_ext,3.600454449963216e-11
