,Absolute activities
A,6.333789324414009e-09
B,5.494275398207052e-15
C,5.463643276768531e-10
D,2.5081815043356866e-15
E,2.5782511735319834e-16
F,2.6415884760419207e-25
A_ext,0.0074527942979174845
D_ext,1.2042585173737002e-20
E_ext,5.805532086549954e-17
F_ext,1.2629675782370943e-30
