,Log Concentrations
A,-7.591442505315368
B,-12.414611800700982
C,-7.7720801263598425
D,-11.92266125381093
E,-13.59329136913072
F,-18.77096347512149
A_ext,-1.9532201348846456
D_ext,-16.863672715254747
E_ext,-14.142289779453424
F_ext,-23.711948341376957
