,Chemical potential
A,-19.3898245405
B,-33.3411891145
C,-21.8261911976
D,-34.104813136
E,-35.54143592
F,-57.0942601994
A_ext,-5.41806116542
D_ext,-46.3641176933
E_ext,-36.2144344413
F_ext,-69.332333827
