,Total Macroscopic Entropy Production Net Flux
R_1,248.965104882
R_2,248.965104882
R_3,248.965104882
R_4,248.965104882
R_5,248.965104882
R_6,248.965104882
R_7,248.965104882
R_8,248.965104882
R_9,248.965104882
