,Normalized absolute activities
A,8.553566244173095e-07
B,7.468045359526048e-13
C,7.399638115930108e-08
D,3.4411713962761826e-13
E,8.292465400495662e-14
F,3.65103297223129e-23
A_ext,0.9999990706457773
D_ext,1.6303271984542955e-18
E_ext,4.336725751393482e-14
F_ext,1.768593500407852e-28
