,fullS*net_flux
A,-3.6376525880399413e-07
B,1.1207413308511605e-07
C,-3.508342558689037e-07
D,-4.6698423261659627e-07
E,-1.0036826270098942e-06
F,-3.560751906661608e-07
A_ext,-281.10615702613933
D_ext,139.79556444898085
E_ext,1.276667050403004
F_ext,140.0339279560229
