,Delta G
R_1,-13.969642469208768
R_2,-13.949173261912513
R_3,-2.441155483020316
R_4,0.17913724930146574
R_5,0.17913638610488306
R_6,-12.232277089712722
R_7,-12.27302346078662
R_8,-12.267942797486286
R_9,-12.232277683345687
