,Entropy
A,1.1950826650842734e-05
B,2.0853002826028833e-11
C,1.2149650553172416e-06
D,9.875402878959645e-12
E,2.4977605655837273e-12
F,1.886285995081418e-21
A_ext,9.29353790839813e-07
D_ext,6.67745353514726e-17
E_ext,1.3343702547379153e-12
F_ext,1.1301701205460936e-26
