,Net flux
R_1,280.376903501
R_2,278.079179012
R_3,2.29772464614
R_4,-0.549663558107
R_5,-0.549663928311
R_6,139.314421427
R_7,141.612146141
R_8,140.512819466
R_9,139.314421519
