,Entropy of Concentrations
A,0.020006354341211754
B,0.00029919672370348137
C,0.017273006047029565
D,0.0004689532843592226
E,0.00016004552359861785
F,8.401681863643334e-07
A_ext,0.006595741346387966
D_ext,4.977427621415609e-06
E_ext,0.00014985296536310465
F_ext,7.818683203292058e-09
