,Net likelihoods
R_1,280.95938022903715
R_2,278.64758947392113
R_3,2.311791017136406
R_4,-1.1539897467762836
R_5,-1.1539903309867796
R_6,139.90078967097637
R_7,142.21258106930782
R_8,139.9046022684175
R_9,139.9007898866564
