,log Q_r
R_1,-5.638744632527525
R_2,-4.8236844935929675
R_3,-0.1816764440544718
R_4,2.2149980117684436
R_5,0.6014164985144763
R_6,-1.7147711784820112
R_7,-4.151539003730657
R_8,-4.940232291527192
R_9,-4.941935551981285
