,Backward rate
R_1,1.00356658222
R_2,1.00359605157
R_3,1.37425442799
R_4,2.3119106125
R_5,2.31191084665
R_6,1.00717763797
R_7,1.00706118908
R_8,1.00711642795
R_9,1.00717763797
