,fullS*net_probabilities
A,-1.9243702291393827e-10
B,-2.846335944717282e-10
C,2.6150331899899015e-11
D,-2.039760860217399e-10
E,-4.2108764392034814e-13
F,-5.15248954613412e-11
A_ext,-0.24892725576562985
D_ext,0.12529430890303875
E_ext,0.0001285361713672864
F_ext,0.12350441139806616
