,logK - logQ
R_1,5.6361477605
R_2,5.62791897405
R_3,0.982819570388
R_4,-0.271484734352
R_5,-0.271484637043
R_6,4.93678477274
R_7,4.953141968
R_8,4.94534942161
R_9,4.93678495816
