,logQ - logK
R_1,-5.635292196413928
R_2,-5.627035008415193
R_3,-0.9847513616772345
R_4,0.07226317676351979
R_5,0.07226282855382316
R_6,-4.934446660318521
R_7,-4.950883566807075
R_8,-4.9488340496263685
R_9,-4.934446899787442
