,Normalized Concentrations
A,0.0035339639550032256
B,2.8402891681213228e-05
C,0.002946870413079422
D,4.638425202227869e-05
E,8.268317478879233e-06
F,4.927747158106252e-08
A_ext,0.9934311974320912
D_ext,3.3178361454499683e-07
E_ext,4.531325679108184e-06
F_ext,3.518787787402678e-10
