,fullS*net_likelihood
A,-2.6202038450051646e-07
B,-1.2125531156925717e-07
C,-3.8119503642519703e-07
D,-6.926622688752104e-07
E,-5.842104959796757e-07
F,-2.1568004626715265e-07
A_ext,-280.95938022903715
D_ext,139.9046022684175
E_ext,1.1539903309867796
F_ext,139.9007898866564
