,Forward likelihoods
R_1,740.334539655
R_2,722.669617119
R_3,17.7198260522
R_4,702.719480303
R_5,702.713699796
R_6,10.1006819179
R_7,27.6752799799
R_8,1433.08397572
R_9,10.1594211671
