,Forward rate
R_1,741.334539655
R_2,723.669617119
R_3,18.7198260522
R_4,703.719480303
R_5,703.713699796
R_6,11.1006819179
R_7,28.6752799799
R_8,1434.08397572
R_9,11.1594211671
