,Entropy
A,0.000318041421263
B,3.92819385372e-09
C,8.00749157035e-07
D,5.78680755048e-10
E,7.74287309095e-06
F,1.07564165486e-13
A_ext,0.111821798738
D_ext,2.12330636675e-13
E_ext,0.25353184519
F_ext,6.2298415735e-16
