,Absolute activities
A,1.27041116508e-12
B,7.25962572453e-18
C,1.97167413748e-15
D,9.82011122294e-19
E,2.22661319094e-14
F,1.33845170071e-22
A_ext,3.65705449446e-08
D_ext,2.69881153326e-22
E_ext,4.94928505819e-09
F_ext,6.68968496248e-25
