,Normalized absolute activities
A,3.05967426336e-05
B,1.74841741017e-10
C,4.74860484544e-08
D,2.36508796507e-11
E,5.36260327525e-07
F,3.22354394702e-15
A_ext,0.880769614119
D_ext,6.49985171491e-15
E_ext,0.119199205193
F_ext,1.61115215863e-17
