,Backward probabilities
R_1,3.09272837881e-07
R_2,3.16832697316e-07
R_3,1.29214227829e-05
R_4,3.2582754638e-07
R_5,3.2583022663e-07
R_6,2.26683075382e-05
R_7,8.27328085666e-06
R_8,1.59771072693e-07
R_9,2.25372450157e-05
