,Chemical potential
A,-27.3916805158
B,-39.4642033995
C,-33.8598933971
D,-41.4646843184
E,-31.4357096194
F,-50.3653585472
A_ext,-17.1240227035
D_ext,-49.6640605426
E_ext,-19.1240227035
F_ext,-55.6640605426
